x,y,w,h,aspect_ratio,ground_truth,predicted
52,69,45,45,1.0,left,center
128,61,45,45,1.0,right,center
51,64,44,44,1.0,left,center
126,62,46,46,1.0,right,center
49,64,47,47,1.0,left,center
84,161,24,24,1.0,center,center
66,143,54,54,1.0,center,center
134,63,47,47,1.0,right,center
55,62,49,49,1.0,center,center
131,61,46,46,1.0,right,center
86,160,28,28,1.0,center,center
52,61,50,50,1.0,center,center
131,65,46,46,1.0,right,center
55,66,47,47,1.0,center,center
83,162,32,32,1.0,center,center
117,51,62,62,1.0,right,center
44,47,68,68,1.0,center,center
118,59,49,49,1.0,right,center
50,61,49,49,1.0,left,center
129,65,47,47,1.0,right,center
53,64,50,50,1.0,center,center
87,166,24,24,1.0,center,right
127,64,46,46,1.0,right,center
74,166,27,27,1.0,center,right
50,64,51,51,1.0,left,center
126,63,48,48,1.0,right,center
51,68,46,46,1.0,left,center
78,167,24,24,1.0,center,center
127,61,46,46,1.0,right,center
50,62,49,49,1.0,left,center
126,60,48,48,1.0,right,center
49,66,45,45,1.0,left,center
125,63,48,48,1.0,right,center
53,66,49,49,1.0,center,center
69,145,42,42,1.0,center,center
68,140,43,43,1.0,center,center
108,46,62,62,1.0,right,center
40,51,56,56,1.0,left,center
109,49,53,53,1.0,right,center
50,58,47,47,1.0,center,center
114,54,50,50,1.0,right,center
53,68,41,41,1.0,center,center
110,50,46,46,1.0,right,center
50,55,47,47,1.0,center,center
42,60,42,42,1.0,left,center
102,46,47,47,1.0,right,center
42,57,43,43,1.0,left,center
101,48,48,48,1.0,right,center
38,59,45,45,1.0,left,center
102,46,51,51,1.0,right,center
43,52,52,52,1.0,center,center
100,44,52,52,1.0,right,center
36,42,62,62,1.0,center,center
81,139,27,27,1.0,center,center
94,40,52,52,1.0,center,center
32,45,58,58,1.0,left,center
31,58,39,39,1.0,left,center
94,45,43,43,1.0,right,center
100,49,42,42,1.0,right,center
37,58,40,40,1.0,left,center
100,49,42,42,1.0,right,center
34,49,47,47,1.0,left,center
20,42,39,39,1.0,left,center
81,37,41,41,1.0,right,center
97,49,45,45,1.0,right,center
95,50,40,40,1.0,right,center
95,51,38,38,1.0,right,center
97,55,38,38,1.0,right,center
96,56,36,36,1.0,right,center
104,64,21,21,1.0,right,center
96,57,31,31,1.0,right,center
89,52,38,38,1.0,right,center
94,52,36,36,1.0,right,center
95,55,29,29,1.0,right,center
87,50,33,33,1.0,right,center
90,52,30,30,1.0,right,center
99,59,27,27,1.0,right,center
89,52,30,30,1.0,right,center
93,54,30,30,1.0,right,center
97,58,25,25,1.0,right,center
94,56,26,26,1.0,right,center
93,55,28,28,1.0,right,center
95,56,26,26,1.0,right,center
92,54,27,27,1.0,right,center
95,59,25,25,1.0,right,center
105,64,21,21,1.0,right,center
93,56,26,26,1.0,right,center
86,52,25,25,1.0,right,center
90,55,23,23,1.0,right,center
86,51,26,26,1.0,right,center
80,43,30,30,1.0,right,center
86,51,23,23,1.0,right,center
76,46,26,26,1.0,center,center
94,55,20,20,1.0,right,center
80,46,30,30,1.0,right,center
89,50,26,26,1.0,right,center
84,46,26,26,1.0,right,center
84,48,27,27,1.0,right,center
85,51,26,26,1.0,right,center
81,49,27,27,1.0,center,right
85,45,28,28,1.0,right,center
91,47,30,30,1.0,right,center
92,50,26,26,1.0,right,center
92,48,23,23,1.0,right,center
77,39,39,39,1.0,right,center
89,47,30,30,1.0,right,center
85,45,30,30,1.0,right,center
87,42,36,36,1.0,right,center
86,45,34,34,1.0,right,center
85,42,38,38,1.0,right,center
88,42,34,34,1.0,right,center
93,49,32,32,1.0,right,center
93,47,34,34,1.0,right,center
93,47,38,38,1.0,right,center
95,47,36,36,1.0,right,center
91,48,37,37,1.0,right,center
92,46,39,39,1.0,right,center
96,49,41,41,1.0,right,center
103,48,41,41,1.0,right,center
99,45,42,42,1.0,right,center
93,46,41,41,1.0,right,center
107,51,40,40,1.0,right,center
113,55,40,40,1.0,right,center
108,50,41,41,1.0,right,center
106,48,43,43,1.0,right,center
118,55,42,42,1.0,right,center
50,74,22,22,1.0,left,center
115,53,45,45,1.0,right,center
114,50,51,51,1.0,right,center
114,53,48,48,1.0,right,center
121,57,45,45,1.0,right,center
120,57,47,47,1.0,right,center
51,62,46,46,1.0,center,center
126,57,49,49,1.0,right,center
48,58,52,52,1.0,center,center
123,58,48,48,1.0,right,center
51,63,46,46,1.0,left,center
123,58,53,53,1.0,right,center
46,60,54,54,1.0,left,center
126,60,48,48,1.0,right,center
50,66,46,46,1.0,left,center
125,65,47,47,1.0,right,center
46,65,51,51,1.0,left,center
125,63,48,48,1.0,right,center
51,69,45,45,1.0,left,center
131,69,46,46,1.0,right,center
54,74,46,46,1.0,left,center
53,73,43,43,1.0,left,center
122,63,52,52,1.0,right,center
124,61,48,48,1.0,right,center
47,67,46,46,1.0,left,center
129,63,47,47,1.0,right,center
54,70,45,45,1.0,left,center
128,67,46,46,1.0,right,center
52,68,50,50,1.0,left,center
123,61,50,50,1.0,right,center
53,67,48,48,1.0,center,center
123,61,52,52,1.0,right,center
54,70,46,46,1.0,left,center
123,63,50,50,1.0,right,center
50,69,46,46,1.0,left,center
50,71,43,43,1.0,left,center
121,60,52,52,1.0,right,center
55,75,40,40,1.0,left,center
128,65,47,47,1.0,right,center
126,63,50,50,1.0,right,center
53,71,47,47,1.0,left,center
129,66,48,48,1.0,right,center
55,73,44,44,1.0,left,center
126,63,46,46,1.0,right,center
88,163,24,24,1.0,center,center
51,70,45,45,1.0,left,center
49,67,44,44,1.0,left,center
124,61,46,46,1.0,right,center
128,64,46,46,1.0,right,center
55,70,45,45,1.0,center,center
93,163,23,23,1.0,center,center
123,57,55,55,1.0,right,center
43,50,63,63,1.0,left,center
126,63,47,47,1.0,right,center
56,68,45,45,1.0,center,center
128,63,50,50,1.0,right,center
55,69,46,46,1.0,center,center
130,65,45,45,1.0,right,center
54,69,44,44,1.0,left,center
89,164,28,28,1.0,center,center
133,66,45,45,1.0,right,center
57,71,42,42,1.0,left,center
91,162,29,29,1.0,center,center
126,62,45,45,1.0,right,center
52,68,41,41,1.0,left,center
126,63,44,44,1.0,right,center
52,68,40,40,1.0,left,center
84,158,29,29,1.0,center,center
54,69,41,41,1.0,left,center
129,63,46,46,1.0,right,center
52,72,42,42,1.0,left,center
128,66,45,45,1.0,right,center
49,68,44,44,1.0,left,center
125,62,46,46,1.0,right,center
114,67,36,36,1.0,center,center
120,60,48,48,1.0,right,center
49,72,37,37,1.0,left,center
56,65,47,47,1.0,center,center
82,166,23,23,1.0,center,right
129,68,43,43,1.0,right,center
55,71,45,45,1.0,center,center
123,60,45,45,1.0,right,center
51,63,46,46,1.0,center,center
54,68,47,47,1.0,center,center
126,65,48,48,1.0,right,center
56,67,41,41,1.0,center,center
122,58,50,50,1.0,right,center
125,64,46,46,1.0,right,center
53,69,44,44,1.0,left,center
110,38,74,74,1.0,right,center
114,64,50,50,1.0,center,center
119,57,57,57,1.0,right,center
123,68,46,46,1.0,right,center
57,71,45,45,1.0,center,center
124,61,47,47,1.0,right,center
51,63,47,47,1.0,center,center
123,61,46,46,1.0,right,center
51,69,39,39,1.0,left,center
129,65,46,46,1.0,right,center
57,70,44,44,1.0,center,center
93,165,23,23,1.0,center,center
128,63,46,46,1.0,right,center
55,68,44,44,1.0,center,center
90,164,24,24,1.0,center,center
122,60,46,46,1.0,right,center
50,66,43,43,1.0,left,center
121,61,46,46,1.0,right,center
47,62,47,47,1.0,left,center
43,52,54,54,1.0,left,center
42,46,63,63,1.0,center,center
117,57,52,52,1.0,right,center
37,47,62,62,1.0,left,center
127,63,47,47,1.0,right,center
56,66,47,47,1.0,center,center
50,65,44,44,1.0,left,center
119,57,52,52,1.0,right,center
123,63,45,45,1.0,right,center
65,137,53,53,1.0,center,center
51,65,45,45,1.0,left,center
131,65,47,47,1.0,right,center
57,71,43,43,1.0,left,center
126,62,48,48,1.0,right,center
51,65,46,46,1.0,left,center
82,157,38,38,1.0,center,center
125,65,48,48,1.0,right,center
52,71,44,44,1.0,left,center
85,167,26,26,1.0,center,center
55,74,44,44,1.0,left,center
89,168,24,24,1.0,center,center
127,66,50,50,1.0,right,center
128,66,49,49,1.0,right,center
53,73,45,45,1.0,left,center
85,164,29,29,1.0,center,center
118,63,51,51,1.0,right,center
59,70,46,46,1.0,center,center
113,36,78,78,1.0,right,center
120,54,57,57,1.0,right,center
45,53,62,62,1.0,left,center
129,69,44,44,1.0,right,center
55,70,47,47,1.0,center,center
104,184,30,30,1.0,center,center
89,166,25,25,1.0,center,center
129,69,46,46,1.0,right,center
56,72,44,44,1.0,left,center
54,72,45,45,1.0,left,center
126,65,51,51,1.0,right,center
126,61,48,48,1.0,right,center
48,65,46,46,1.0,left,center
128,64,45,45,1.0,right,center
52,67,46,46,1.0,left,center
44,53,62,62,1.0,center,center
115,51,66,66,1.0,right,center
54,72,41,41,1.0,left,center
122,65,48,48,1.0,right,center
51,70,43,43,1.0,left,center
122,62,51,51,1.0,right,center
127,65,46,46,1.0,right,center
51,68,45,45,1.0,left,center
130,66,47,47,1.0,right,center
52,68,48,48,1.0,left,center
52,70,45,45,1.0,left,center
130,67,46,46,1.0,right,center
127,62,46,46,1.0,right,center
49,62,47,47,1.0,left,center
129,67,46,46,1.0,right,center
49,67,49,49,1.0,left,center
131,68,46,46,1.0,right,center
53,69,48,48,1.0,left,center
127,64,43,43,1.0,right,center
47,63,48,48,1.0,left,center
49,63,47,47,1.0,left,center
130,66,41,41,1.0,right,center
137,72,39,39,1.0,right,center
85,168,24,24,1.0,center,center
55,67,47,47,1.0,center,center
50,61,47,47,1.0,left,center
130,67,38,38,1.0,right,center
85,158,27,27,1.0,center,right
50,61,48,48,1.0,left,center
131,67,40,40,1.0,right,center
72,148,46,46,1.0,center,center
51,65,44,44,1.0,left,center
130,68,41,41,1.0,right,center
75,163,28,28,1.0,center,center
116,70,33,33,1.0,center,right
132,71,40,40,1.0,right,center
54,67,45,45,1.0,center,center
115,55,58,58,1.0,right,center
113,37,76,76,1.0,right,right
129,71,45,45,1.0,right,center
118,45,72,72,1.0,right,right
59,71,46,46,1.0,center,center
42,52,66,66,1.0,left,center
137,71,46,46,1.0,right,center
62,74,44,44,1.0,center,center
133,70,46,46,1.0,right,center
61,73,44,44,1.0,center,center
87,169,23,23,1.0,center,center
126,64,48,48,1.0,right,center
53,71,41,41,1.0,left,center
56,72,43,43,1.0,left,center
130,67,47,47,1.0,right,center
134,64,45,45,1.0,right,center
59,69,43,43,1.0,center,center
126,63,47,47,1.0,right,center
53,70,42,42,1.0,left,center
130,65,45,45,1.0,right,center
54,67,46,46,1.0,left,center
128,61,49,49,1.0,right,center
53,68,44,44,1.0,left,center
128,62,47,47,1.0,right,center
52,67,44,44,1.0,left,center
119,56,49,49,1.0,right,center
46,63,45,45,1.0,left,center
127,63,44,44,1.0,right,center
